# All lines beginning with '#' are commented out (ignored) by the parser.,,,,
# Multiple Boards are separated with ';',,,,
# You can use the board acronyms or numbers for Source/Dest Numbers,,,,
# Board Acronyms & Numbers are from the board_table.csv,,,,
# To add a new receive id (satellite to MB) change one of the EMPTY_RX ids to the desired name.,,,,
# To add a new transmit id (MB to satellite) change one of the EMPTY_TX ids to the desired name.,,,,
#,,,,
# ID Name (All UPPERCASE!),Default Val,Source Num,Dest Num(s),Comment
TIMESTAMP,0,2,1,Timestamp
#Errors,,,,
ERROR_MB,0,1,0,
ERROR_CSR,0,2,1,
ERROR_MCH,0,3,1,
ERROR_MCFO,0,4,1,
ERROR_MCFI,0,5,1,
ERROR_MCSO,0,6,1,
ERROR_MCSI,0,7,1,
ERROR_UI,0,8,1,
MB_STATUS,0,1,3;4;5;6;7;8;9,
#Hip MC,,,,
MCH_MOTOR_VELOCITY,0,3,1,
MCH_MOTOR_CURRENT,0,3,1,
MCH_MOTOR_POSITION,0,3,1,
MCH_MOTOR_TARGET_CURRENT,0,1,3,
MCH_ANGLE,0,3,1,
MCH_BATT_POWER,0,3,1,
MCH_SHUTDOWN,0,1,3,
MCH_SLEEP,0,1,3,
MCH_COMMAND_CURRENT,0,1,3,
MCH_STIFFNESS,0,1,3,
MCH_DAMPNESS,0,1,3,
MCH_ANG_RATE,0,3,1,
MCH_STATUS,0,3,1,
MCH_EXECUTION_TIME,0,3,1,
MCH_MAX_EXECUTION_TIME,0,3,1,
MCH_EMPTY_TX1,0,1,3,
MCH_EMPTY_TX2,0,1,3,
MCH_BATT_CURRENT,0,3,1,
MCH_BATT_VOLTAGE,0,3,1,
MCH_HBRIDGE_TEMP,0,3,1,
MCH_EMPTY_RX1,0,3,1,
MCH_EMPTY_RX2,0,3,1,
MCH_EMPTY_RX3,0,3,1,
#Outer Foot MC,,,,
MCFO_MOTOR_POSITION,0,4,1,
MCFO_MOTOR_VELOCITY,0,4,1,
MCFO_MOTOR_CURRENT,0,4,1,
MCFO_MOTOR_TARGET_CURRENT,0,1,4,
MCFO_RIGHT_ANKLE_ANGLE,0,4,1,
MCFO_RIGHT_LS,0,4,1,
MCFO_LEFT_LS,0,4,1,
MCFO_RIGHT_HS,0,4,1,
MCFO_LEFT_HS,0,4,1,
MCFO_SHUTDOWN,0,1,4,
