# All lines beginning with '#' are commented out (ignored) by the parser.,,,
# Note: Do not use commas in uncommented cells!!!,,,
#,,,
#Error Table,,,
#Module,Error Name,Priority,Description
ADCI,BAD_CHAN,0,Attempted to read from invalid channel
ADCI,DNF,0,Did not finish previous conversion
ADCI,FILT_OOB,0,Filter number was out of bounds
CAN,AFRAM_FULL,0,Acceptance filter RAM is full - probably an error in the rx descriptors list
CAN,ACC_FILTER,0,The acceptance filter table has an error
CAN,DUP_RX_IDS,0,Acceptance filter init function found a pair of rx desciptors with identical IDs
CAN,RXLST_OF,0,Receive list overflow
CAN,RTRLST_OF,0,RTR list overflow
CAN1,TX_BUSOFF,0,Excessive transmit errors on this controller led to bus off condition
CAN1,ERR_WARN,0,Error warning- shows change in error or bus status bits in either direction
CAN1,DATA_OVRN,0,Receive data overrun - buffer not read before next frame- data lost
CAN1,ERR_PASS,0,Change in active or passive error status in either direction
CAN1,BUS_RX,0,Bus error during receive
CAN1,BUS_TX,0,Bus error during transmit
CAN1,LOCKUP,0,CAN controller lockup
CAN1,RX_BUF_OF,0,Software receive buffer overflow
CAN2,TX_BUSOFF,0,Excessive transmit errors on this controller led to bus off condition
CAN2,ERR_WARN,0,Error warning- shows change in error or bus status bits in either direction
CAN2,DATA_OVRN,0,Receive data overrun - buffer not read before next frame- data lost
CAN2,ERR_PASS,0,Change in active or passive error status in either direction
CAN2,BUS_RX,0,Bus error during receive
CAN2,BUS_TX,0,Bus error during transmit
CAN2,LOCKUP,0,CAN controller lockup
CAN2,RX_BUF_OF,0,Software receive buffer overflow
CAN3,TX_BUSOFF,0,Excessive transmit errors on this controller led to bus off condition
CAN3,ERR_WARN,0,Error warning- shows change in error or bus status bits in either direction
CAN3,DATA_OVRN,0,Receive data overrun - buffer not read before next frame- data lost
CAN3,ERR_PASS,0,Change in active or passive error status in either direction
CAN3,BUS_RX,0,Bus error during receive
CAN3,BUS_TX,0,Bus error during transmit
CAN3,LOCKUP,0,CAN controller lockup
CAN3,RX_BUF_OF,0,Software receive buffer overflow
CAN4,TX_BUSOFF,0,Excessive transmit errors on this controller led to bus off condition
CAN4,ERR_WARN,0,Error warning- shows change in error or bus status bits in either direction
CAN4,DATA_OVRN,0,Receive data overrun - buffer not read before next frame- data lost
CAN4,ERR_PASS,0,Change in active or passive error status in either direction
CAN4,BUS_RX,0,Bus error during receive
CAN4,BUS_TX,0,Bus error during transmit
CAN4,LOCKUP,0,CAN controller lockup
CAN4,RX_BUF_OF,0,Software receive buffer overflow
QDC,CH01_GLTCH,0,QDC channel 01 glitch detected
QDC,CH23_GLTCH,0,QDC channel 23 glitch detected
